"Name","entrada","saida","total","Quantity"
Café 500g,81,59,22,29
Creme de leite,41,28,13,18
Leite condensado,15,12,3,17
Fralda Geriátrica M,45,33,12,9
Farinha de milho 1kg,11,8,3,21
Fermento de bolo 100g,17,10,7,7
Sapólio 500ml,2,2,0,0
Leite,406,402,4,0
Esponja,30,10,20,22
Arroz 5Kg,9,15,-6,8
Sapólio 250ml,2,1,1,2
Açucar 5Kg,2,3,-1,0
Farinha de Trigo 1kg,12,46,-34,2
Massa Spaguetti 500g,24,24,0,16
Chá,47,12,35,25
Biscoito Doce,47,32,15,27
Papel higiênico,223,237,-14,0
Açucar 2 Kg,10,9,1,0
Fralda Geriátrica GG - XG,497,87,410,582
Sal,12,15,-3,5
Farinha de mandioca 1kg,10,4,6,17
Massa Parafuso 500g,29,43,-14,13
Vinagre de Maçã,4,2,2,3
Saco de lixo 50L,100,15,85,100
Luva de Borracha,14,2,12,11
Farinha de Trigo 5kg,2,4,-2,2
Sabão em barra,10,11,-1,0
Amaciante 5L,12,8,4,3
Massa Penne 500g,1,3,-2,0
Bom bril,10,8,2,10
Fralda Geriátrica G,540,305,235,864
Papel Toalha Banheiro,12,2,10,6
Detergente 5L,5,5,0,4
Biscoito Salgado,58,30,28,20
Margarina 1Kg,3,3,0,0
Feijão 1kg,39,41,-2,12
Sabonete Líquido 5L,1,1,0,0
Maionese 200g,6,5,1,2
Extrato/molho de Tomate 300g,25,17,8,3
Temperos diversos,21,9,12,9
Vinagre de álcool,13,8,5,9
Biscoito Doce 500g,10,7,3,-3
Polentina,7,5,2,7
Cloro (Q-Boa) 5L,39,24,15,11
Sabonete barra,65,13,52,233
Sabão em pó 800g,62,79,-17,42
Arroz 1 Kg,24,22,2,58
Polvilho 400g,6,1,5,3
Requeijão,3,3,0,0
Lentilha,15,10,5,6
Achocolatado,5,5,0,2
Açucar 1 Kg,76,59,17,23
Milho em lata 240g,11,10,1,0
Creme dental,12,4,8,48
Óleo de soja,60,68,-8,6
Chimia - doce de leite,25,21,4,0
Saco de lixo 100l,100,156,-56,178
